pair,arm,ns,items,status,pct
1,A,2814021,268435456,0,2.2
1,B,2841586,268435456,0,2.2
2,A,2812202,268435456,0,2.2
2,B,2807358,268435456,0,2.2
3,A,2821530,268435456,0,2.2
3,B,2850669,268435456,0,2.1
4,A,2818366,268435456,0,2.2
4,B,2842727,268435456,0,2.2
5,A,2816483,268435456,0,2.2
5,B,2811914,268435456,0,2.2
6,A,2815158,268435456,0,2.2
6,B,2835475,268435456,0,2.2
7,A,2825455,268435456,0,2.2
7,B,2810044,268435456,0,2.2
8,A,2836311,268435456,0,2.2
8,B,2811453,268435456,0,2.2
9,A,2810140,268435456,0,2.1
9,B,2814473,268435456,0,2.2
10,A,2823646,268435456,0,2.2
10,B,2794530,268435456,0,2.1
11,A,2832738,268435456,0,2.2
11,B,2803430,268435456,0,2.1
12,A,2825008,268435456,0,2.2
12,B,2809033,268435456,0,2.2
13,A,2767685,268435456,0,2.1
13,B,2825198,268435456,0,2.2
14,A,2845525,268435456,0,2.2
14,B,2834257,268435456,0,2.2
15,A,2804520,268435456,0,2.2
15,B,2819313,268435456,0,2.2
16,A,2837987,268435456,0,2.2
16,B,2814862,268435456,0,2.1
17,A,2810726,268435456,0,2.1
17,B,2819777,268435456,0,2.2
18,A,2838666,268435456,0,2.2
18,B,2813374,268435456,0,2.2
19,A,2802266,268435456,0,2.2
19,B,2816191,268435456,0,2.2
20,A,2836193,268435456,0,2.2
20,B,2803742,268435456,0,2.1
21,A,2809302,268435456,0,2.2
21,B,2814529,268435456,0,2.2
22,A,2778196,268435456,0,2.1
22,B,2809144,268435456,0,2.2
23,A,2846019,268435456,0,2.2
23,B,2809655,268435456,0,2.2
24,A,2810546,268435456,0,2.2
24,B,2821113,268435456,0,2.2
25,A,2817639,268435456,0,2.2
25,B,2813918,268435456,0,2.2
26,A,2842535,268435456,0,2.2
26,B,2822007,268435456,0,2.2
27,A,2832775,268435456,0,2.1
27,B,2823909,268435456,0,2.2
28,A,2861887,268435456,0,2.2
28,B,2814167,268435456,0,2.2
29,A,2796231,268435456,0,2.2
29,B,2816129,268435456,0,2.2
30,A,2813408,268435456,0,2.2
30,B,2875577,268435456,0,2.2
31,A,2838363,268435456,0,2.2
31,B,2817680,268435456,0,2.2
