pair,arm,ns,items,status,pct
1,A,753666,268435456,0,3.7
1,B,804273,268435456,0,3.9
2,A,740944,268435456,0,3.6
2,B,759995,268435456,0,3.8
3,A,769617,268435456,0,3.7
3,B,762059,268435456,0,3.8
4,A,779215,268435456,0,3.8
4,B,754658,268435456,0,3.7
5,A,744485,268435456,0,3.7
5,B,763846,268435456,0,3.8
6,A,751128,268435456,0,3.7
6,B,763255,268435456,0,3.8
7,A,742842,268435456,0,3.7
7,B,773120,268435456,0,3.8
8,A,767619,268435456,0,3.8
8,B,760479,268435456,0,3.7
9,A,740838,268435456,0,3.7
9,B,765965,268435456,0,3.8
10,A,748185,268435456,0,3.7
10,B,759208,268435456,0,3.7
11,A,783563,268435456,0,3.7
11,B,751161,268435456,0,3.7
12,A,743219,268435456,0,3.7
12,B,753817,268435456,0,3.7
13,A,758577,268435456,0,3.7
13,B,760362,268435456,0,3.7
14,A,741816,268435456,0,3.7
14,B,773232,268435456,0,3.8
15,A,769080,268435456,0,3.8
15,B,752079,268435456,0,3.7
16,A,743013,268435456,0,3.7
16,B,806846,268435456,0,3.9
17,A,758802,268435456,0,3.7
17,B,776614,268435456,0,3.8
18,A,756556,268435456,0,3.7
18,B,783943,268435456,0,3.9
19,A,757031,268435456,0,3.7
19,B,741325,268435456,0,3.7
20,A,738026,268435456,0,3.7
20,B,756834,268435456,0,3.7
21,A,760020,268435456,0,3.7
21,B,757614,268435456,0,3.7
22,A,777875,268435456,0,3.8
22,B,746120,268435456,0,3.7
23,A,753023,268435456,0,3.7
23,B,775612,268435456,0,3.8
24,A,749492,268435456,0,3.7
24,B,764568,268435456,0,3.8
25,A,751185,268435456,0,3.7
25,B,769049,268435456,0,3.8
26,A,778012,268435456,0,3.8
26,B,879443,268435456,0,4.3
27,A,885000,268435456,0,4.4
27,B,751176,268435456,0,3.7
28,A,763734,268435456,0,3.8
28,B,749613,268435456,0,3.7
29,A,746136,268435456,0,3.7
29,B,751537,268435456,0,3.7
30,A,749557,268435456,0,3.7
30,B,762048,268435456,0,3.8
31,A,825502,268435456,0,4.0
31,B,756066,268435456,0,3.7
