pair,arm,deposit_ns,pipeline_ns,wall_ns
1,A,112170118,285577871,309468625
1,B,175546504,346285559,370106291
2,A,110797876,279202156,303319042
2,B,174659477,345498585,370494458
3,A,111116326,279813507,303955667
3,B,174967227,344698253,368783958
4,A,111625878,290858996,314477583
4,B,174345950,343904630,367686334
5,A,110698094,285291612,309456708
5,B,175468934,346091961,369689625
6,A,111505472,280571197,304084708
6,B,175391751,344647052,368389791
7,A,112170635,318912025,342796208
7,B,175399470,346476980,370049209
8,A,113057269,296214006,319570333
8,B,175313692,345487710,369377125
9,A,110481527,278789035,302812084
9,B,174294491,343897004,367838500
10,A,111113777,280198985,303972375
10,B,174463335,343983350,367666833
11,A,111134201,279808298,303472375
11,B,175453774,345511561,369408625
12,A,112096654,299858848,323644334
12,B,175582822,356749071,380365459
13,A,111496885,281054336,304892708
13,B,179574590,359870508,384441417
14,A,111258631,280699100,304710625
14,B,175466175,345975408,370139250
15,A,110740181,278842111,302605375
15,B,175408149,346185822,369983042
16,A,111419899,280788444,305021333
16,B,174927309,345305854,369111208
17,A,111551679,281149405,305233250
17,B,175299045,345560329,369599250
18,A,112320249,298009692,321537000
18,B,174395802,346741764,370989708
19,A,110742670,279477088,303447583
19,B,174867149,345781469,369874666
20,A,112083913,282398442,306123875
20,B,175593968,355004362,378591167
21,A,112547992,292441850,316297542
21,B,176294022,349680261,374211000
22,A,111985437,282376650,305866541
22,B,175301771,346327559,370128667
23,A,112810788,283260828,307614917
23,B,175346992,345849047,369261417
24,A,112312777,282859098,306815875
24,B,174435563,344580308,368283334
25,A,111814937,291414394,315510042
25,B,176306869,353399597,377515792
26,A,111997383,290333072,314440625
26,B,175456497,346522641,370613125
27,A,111293631,281145013,304751417
27,B,175563346,345859421,369740750
28,A,110989656,281613378,305494125
28,B,176194403,357220960,381169166
29,A,111619911,291287074,315464834
29,B,175383132,356997504,380725417
30,A,112049416,282469662,306081666
30,B,177146354,351966479,375674375
31,A,111389073,280903039,304978959
31,B,175772548,357410691,381260042
